Keyword,Clicks,Impressions,CTR,Position,Saved Date,Source
islamic wall art for living room,12,890,1.35%,5.05,2026-05-14,Conflict - No suitable URL
waterproof art for bathroom,18,370,4.86%,5.38,2026-05-14,Conflict - No suitable URL
bathroom wall art ideas,12,3237,0.37%,5.38,2026-05-14,Conflict - No suitable URL
small bathroom wall decor ideas,9,806,1.12%,5.77,2026-05-14,Conflict - No suitable URL
islamic wall art uk,9,615,1.46%,8.04,2026-05-14,Conflict - No suitable URL
masculine home decor,7,514,1.36%,8.15,2026-05-14,Conflict - No suitable URL
3 5 7 rule interior design,7,199,3.52%,2.56,2026-05-14,Conflict - No suitable URL
"wall art",17,11333,0.15%,12.65,2026-05-16T11:30:07.384Z,"Conflict - No suitable URL"
"wall art for office at work",7,369,1.9%,7.41,2026-05-17T15:46:53.412Z,"Conflict - No suitable URL"
"wall art for grey walls",7,305,2.3%,5.95,2026-05-17T15:47:13.370Z,"Conflict - No suitable URL"
"art for above fireplace",6,266,2.26%,6.48,2026-05-17T15:50:39.404Z,"Conflict - No suitable URL"
"set of 3 wall art for bedroom",5,610,0.82%,5.21,2026-05-17T15:52:56.838Z,"Conflict - No suitable URL"
"old money house interior",5,429,1.17%,5.2,2026-05-17T15:53:17.196Z,"Conflict - No suitable URL"
"behind toilet wall ideas",5,238,2.1%,8.08,2026-05-17T15:54:34.110Z,"Conflict - No suitable URL"
"waterproof wall art for bathroom",5,55,9.09%,4.76,2026-05-17T15:55:00.612Z,"Conflict - No suitable URL"
"art for bathroom humidity",5,27,18.52%,1.89,2026-05-17T15:55:47.040Z,"Conflict - No suitable URL"
"wall art for bedroom",4,7484,0.05%,6.56,2026-05-17T15:56:15.403Z,"Conflict - No suitable URL"
"studio room design",4,1459,0.27%,1.04,2026-05-17T15:57:03.942Z,"Conflict - No suitable URL"
"old money decor",4,685,0.58%,8.07,2026-05-17T15:57:39.068Z,"Conflict - No suitable URL"
"relaxing wall art for bedroom",4,306,1.31%,7.56,2026-05-17T16:00:29.172Z,"Conflict - No suitable URL"
"3-5-7 rule interior design",4,177,2.26%,3.39,2026-05-17T16:01:37.575Z,"Conflict - No suitable URL"
"décoration islamique",4,172,2.33%,9.48,2026-05-17T16:02:10.666Z,"Conflict - No suitable URL"
"waterproof frames for bathroom",4,77,5.19%,6.36,2026-05-17T16:03:15.636Z,"Conflict - No suitable URL"
"pictures for the bathroom",3,545,0.55%,4.85,2026-05-17T16:08:35.171Z,"Conflict - No suitable URL"
"art for bathroom walls ideas",3,178,1.69%,5.62,2026-05-17T16:12:31.944Z,"Conflict - No suitable URL"
"old money living room ideas",3,137,2.19%,6.41,2026-05-17T16:23:44.081Z,"Conflict - No suitable URL"
"old money style living room",3,114,2.63%,5.29,2026-05-17T16:24:12.749Z,"Conflict - No suitable URL"
"colour symbolism",3,95,3.16%,3.49,2026-05-17T16:24:54.136Z,"Conflict - No suitable URL"
"colour and emotion in art",3,72,4.17%,2.62,2026-05-17T16:26:15.440Z,"Conflict - No suitable URL"
